docID,edinetCode,secCode,submitDateTime,periodStart,periodEnd,parentDocID
S1004PCK,E05951,93990,2015-05-14 16:31,2015-01-01,2015-03-31,
S1004PBZ,E05447,24270,2015-05-14 16:34,2015-01-01,2015-03-31,
S1004OND,E05299,23250,2015-05-14 16:36,2015-01-01,2015-03-31,
S1004P69,E03482,30470,2015-05-14 16:40,2015-01-01,2015-03-31,
S1004OTK,E30537,36870,2015-05-14 16:59,2015-01-01,2015-03-31,
S1004OB6,E02978,33500,2015-05-14 17:00,2015-01-01,2015-03-31,
S1004OSM,E26096,45830,2015-05-14 17:10,2015-01-01,2015-03-31,
S1004PEC,E02352,77600,2015-05-15 09:02,2015-01-01,2015-03-31,
S1004MPW,E03528,30970,2015-05-15 09:03,2015-01-01,2015-03-31,
S1004P7R,E00991,49120,2015-05-15 09:04,2015-01-01,2015-03-31,
S1004PAR,E02865,75390,2015-05-15 09:04,2015-01-01,2015-03-31,
S1004OZ1,E02720,,2015-05-15 09:04,2015-01-01,2015-03-31,
S1004OCH,E03264,75050,2015-05-15 09:05,2015-01-01,2015-03-31,
S1004OUK,E22024,45760,2015-05-15 09:07,2015-01-01,2015-03-31,
S1004P5H,E05073,47540,2015-05-15 09:08,2015-01-01,2015-03-31,
S1004OTC,E31042,34450,2015-05-15 09:08,2015-01-01,2015-03-31,
S1004OCS,E04693,96560,2015-05-15 09:11,2015-01-01,2015-03-31,
S1004OUR,E26446,60610,2015-05-15 09:12,2015-01-01,2015-03-31,
S1004P1W,E04972,46570,2015-05-15 09:13,2015-01-01,2015-03-31,
S1004O4K,E02719,98690,2015-05-15 09:14,2015-01-01,2015-03-31,
S1004PAZ,E01190,52140,2015-05-15 09:14,2015-01-01,2015-03-31,
S1004P6E,E00350,,2015-05-15 09:21,2015-01-01,2015-03-31,
S1004P5M,E27394,36740,2015-05-15 09:21,2015-01-01,2015-03-31,
S1004P6I,E02296,59570,2015-05-15 09:22,2015-01-01,2015-03-31,
S1004O9N,E04230,90280,2015-05-15 09:22,2015-01-01,2015-03-31,
S1004O5X,E01219,53800,2015-05-15 09:23,2015-01-01,2015-03-31,
S1004NTY,E02810,74460,2015-05-15 09:32,2015-01-01,2015-03-31,
S1004OX1,E01961,64590,2015-05-15 09:37,2015-01-01,2015-03-31,
S1004O4Z,E03081,82760,2015-05-15 09:40,2014-02-21,2015-02-20,
S1004PCU,E04754,97310,2015-05-15 09:40,2015-01-01,2015-03-31,
S1004OIX,E02743,98270,2015-05-15 09:42,2015-01-01,2015-03-31,
S1004PIQ,E05587,38080,2015-05-15 09:42,2015-01-01,2015-03-31,
S1004P36,E01692,61490,2015-05-15 09:43,2015-01-01,2015-03-31,
S1004P37,E02898,76090,2015-05-15 09:48,2015-01-01,2015-03-31,
S1004OOI,E26625,60630,2015-05-15 09:49,2015-01-01,2015-03-31,
S1004PJJ,E02116,66350,2015-05-15 09:53,2015-01-01,2015-03-31,
S1004P1E,E00211,,2015-05-15 09:55,2015-01-01,2015-03-31,
S1004PJF,E01223,53100,2015-05-15 09:56,2015-01-01,2015-03-31,
S1004OXP,E00378,22160,2015-05-15 10:02,2015-01-01,2015-03-31,
S1004PD8,E31056,39020,2015-05-15 10:03,2015-01-01,2015-03-31,
S1004PJT,E01652,64970,2015-05-15 10:03,2015-01-01,2015-03-31,
S1004PE1,E03347,26520,2015-05-15 10:04,2015-01-01,2015-03-31,
S1004PJQ,E05509,24530,2015-05-15 10:05,2015-01-01,2015-03-31,
S1004P5F,E01988,69290,2015-05-15 10:07,2015-01-01,2015-03-31,
S1004OC4,E02327,,2015-05-15 10:10,2015-01-01,2015-03-31,
S1004P0M,E04538,97040,2015-05-15 10:13,2015-01-01,2015-03-31,
S1004P1R,E02799,,2015-05-15 10:13,2015-01-01,2015-03-31,
S1004OXO,E00887,44630,2015-05-15 10:14,2015-01-01,2015-03-31,
S1004PKA,E05100,47670,2015-05-15 10:24,2015-01-01,2015-03-31,
S1004PJ6,E02476,,2015-05-15 10:25,2015-01-01,2015-03-31,
S1004P5X,E00524,30010,2015-05-15 10:30,2015-01-01,2015-03-31,
S1004PG3,E04900,,2015-05-15 10:30,2015-01-01,2015-03-31,
S1004PL0,E05479,14000,2015-05-15 10:31,2015-01-01,2015-03-31,
S1004PKL,E05520,,2015-05-15 10:32,2015-01-01,2015-03-31,
S1004OOM,E00222,19940,2015-05-15 10:35,2015-01-01,2015-03-31,
S1004PCV,E03415,27780,2015-05-15 10:35,2014-02-21,2015-02-20,
S1004PF8,E00389,22260,2015-05-15 10:37,2015-01-01,2015-03-31,
S1004P2O,E02913,,2015-05-15 10:39,2015-01-01,2015-03-31,
S1004MGW,E04820,,2015-05-15 10:42,2015-01-01,2015-03-31,
S1004PIA,E31070,78160,2015-05-15 10:43,,,S1004OP0
S1004OHP,E02564,,2015-05-15 10:44,2015-01-01,2015-03-31,
S1004ONR,E01568,63160,2015-05-15 10:47,2015-01-01,2015-03-31,
S1004OTD,E03434,33260,2015-05-15 10:48,2015-01-01,2015-03-31,
S1004LDM,E02932,26930,2015-05-15 10:49,2015-01-01,2015-03-31,
S1004PCI,E03244,,2015-05-15 10:49,2014-02-21,2015-02-20,
S1004PLB,E01944,65920,2015-05-15 10:53,2015-01-01,2015-03-31,
S1004PLJ,E05403,24020,2015-05-15 10:55,2015-01-01,2015-03-31,
S1004PBY,E02449,,2015-05-15 10:59,2015-01-01,2015-03-31,
S1004PEW,E03173,98230,2015-05-15 11:03,2014-10-01,2015-03-31,
S1004PBP,E05741,36230,2015-05-15 11:07,2015-01-01,2015-03-31,
S1004PM6,E00263,17830,2015-05-15 11:18,2015-01-01,2015-03-31,
S1004PF9,E02365,79920,2015-05-15 11:20,2015-01-01,2015-03-31,
